appid,name
33760,The Search for Amelia Earhart
34274,Ecco the Dolphin
34275,Gain Ground
34277,Shinobi III: Return of the Ninja Master
34311,Kid Chameleon
34312,Ristar
34317,Columns III
34318,Decap Attack
36900,Angle of Attack
36910,All Aspect Warfare
42147,Hamilton's Great Adventure - Retro Fever DLC
42900,Hearts of Iron III: Semper Fi
46760,Ironclads: Schleswig War 1864
46840,Ironclads: Chincha Islands War 1866
71111,Flicky
71167,ToeJam & Earl in Panic on Funkotron
211201,Dynamite Headdy
211203,Phantasy Star II
211205,Phantasy Star IV: The End of the Millennium
211207,The Revenge of Shinobi
211208,VectorMan 2
211209,Wonder Boy in Monster World
229790,Might & Magic: Heroes VI - Shades of Darkness
269430,Burning Cars
279280,Ohmicide
282960,The Sands Whisper Your Name
285670,Galactic Command Echo Squad SE
293980,Baron Wittard
295650,Streng Check
304190,Bloonz Toonz
307560,Run For Rum
312400,Frontline : Longest Day
313190,Pacific Liberation Force
314210,Tesla Breaks the World!
314610,Vincere Totus Astrum
316700,Front Page Sports Football
321080,Pirate Hell
321600,The Flying Dutchman
326650,The Legend of Candlewind: Nights & Candles
330680,Solar Struggle
340030,Dungeon of gain
340530,Soccer Legends
341640,Relativity Wars - A Science Space RTS
353260,Snails
358420,Xenophage: Alien Bloodsport
360720,Soda Star
367040,InsanZ - Retro Survival Horror
383620,Flight Unlimited Las Vegas
385810,Retaliation: Enemy Mine
385960,Russian Front
389690,Nightclub Emporium
391410,"Rock, the Tree Hugger"
398830,Goggles - World of Vaporia
398950,The End of an Age: Fading Remnants
398970,none
406400,Axes and Arrows
411860,Save the Creatures
431470,Inside The Code
432410,The Sacred Stone
436850,Stellar Stars
462400,Slide Ride Arcade
466580,GOD's DEATH
473540,Raise Your Own Clone
488080,Taxi
494820,Acid Flip
500980,Endangered
507360,The Wizard's Lair
511960,Gravity Shot
512410,69 Ways to Kill a Zombie
512700,Duckles: the Jigsaw Witch
514200,Mythic Victory Arena
514540,Hate Free Heroes RPG 3.0 [Upgrading to 3D and Leaving Steam / Final Sale]
516950,STARS Simulation
521660,NOBUNAGA’S AMBITION: Zenkokuban / 信長の野望･全国版
523890,StarDrone VR
525460,Sullen: Light is Your Friend
539690,Nanomedix Inc
540360,Jewel Quest Seven Seas Collector's Edition
542790,RacetronicVR
544990,NOBUNAGA'S AMBITION / 信長の野望
548710,Sandstorm
552480,Havoc Runner
557420,Kamio Recoil
564990,Olav: the story of one boy
570060,TacoFace
570790,New Frontier Days ~Founding Pioneers~
576690,Chess: King of Crowns Chess Online
577890,Arena: Blood on the Sand VR
578990,Two Worlds II HD - Shattered Embrace
584860,Surfasaurus
585750,Chowdertwo
586600,The Adventures of Fluffy
587710,Xenobox VR
587790,Deadly Animal Duel
588140,ESCAPE FROM VOYNA: Dead Forest
588350,VR Meditation SkyRun
589240,Jaguar I-PACE Concept | Virtual Reality Experience
589430,Killer Elite – Time to Die
590440,Carlos III y la difusión de la antigüedad
600580,Dark Mechanism - Virtual reality
603080,Chronicles of a Dark Lord: Tides of Fate Remastered
604060,Goblin Harvest - The Mighty Quest
604990,Stratside
612250,Eastwood VR
614530,Garden Tale
617720,ASTA : ASTA Server
619610,Ultratank
620130,Chaos Town
620140,Bottle Flip Challenge VR
623040,Crystal Vibes feat. Ott.
624060,Shattered Steel
629550,Placebo Effect
638060,Majestic Trials
646890,Distant Nightmare - Virtual reality
650580,Be Quiet!
650720,SlipDrive
652990,Eternal Maze
654070,Escape Room
655600,PHAT STACKS 2
656220,Sorcerer's Dream
658420,Agents of Aggro City Online
659460,RiotZ
661300,Radical Spectrum: Volume 2
661530,Gold Rush In The Oort Cloud
661670,Renegade Grounds: Episode 1
664030,Time To Walk Alone
664050,StopTime Drive
665060,Triangulate
666090,Bad Government
667510,The Elmian Warrior
671580,NeoCube
672940,Galaxy of Drones
675370,Gulu
678830,Buried Alive VR
680100,Heroes of Myths - Warriors of Gods
680170,VR Triber
682350,Gnome Light
683600,Football Mogul 18
683810,The Dark Age I : Zordon's Empire
683840,Galaxia Conquestum
683960,Tower And Guardian 塔与守护者
688170,Denki Gaka's Bombshell
690250,Judge Dredd 95
692530,Community Garden
692660,Invictus: In the Shadow of Olympus
693300,Unbalance
700880,Kingdom: The Far Reaches
704430,Space Survivors I: The Reckoning
708590,Battle Master
708990,Turtle's Quest
709480,麻将VR
709610,Mahjong Match
711390,Anti Gravity Warriors VR
713830,Pivot Puzzles
716900,El Ministerio del Tiempo VR: Salva el tiempo
717720,Cyberia 2: Resurrection
718350,Loot Collection: Mahjong
719300,Daemonsgate
719310,King's Table - The Legend of Ragnarok
719540,VR DREAM MATCH BASEBALL
721420,FIGHTING BOX
722340,Captain vs Sky Pirates
722910,LightTrack
723210,Mind Sweeper VR
724130,Radar Warfare
728050,❂ Heroes of Hexaluga ❂
729270,ALVAROK
731930,Talk to Aya
738080,Creatio Ex Nihilo: Aition
738190,Morth
740560,star of lemutia
744170,Starfighter Neon
744440,The Breeding: The Fog
744610,TAD: That Alien Dude
745750,Viking Village
751550,The Same Crime
753980,ARK -the lost fairytale-
755580,Daddy's gone a-hunting
762630,Dark Wish
762670,Astro Joust
763300,GAME TUBE ♛
764390,Synced Warriors
769630,紅蜘蛛外伝：暗戦
774501,VR Soccer '96
777860,Jambo
778810,Soul for two
780740,Silent Footsteps
782700,Jerry and the mystery loot box
783220,Block Shock
787140,The Adventures of Kusoge
787940,Glista
789220,★ Fallalypse ★ Death or Cress ♝
791320,Zahalia
791380,Way Out
791950,Hiking Simulator 2018
792230,Zombie Serial Killer Incident
793060,Starship
793250,Casino Poker
800160,斗地主VR
800350,Casino Blackjack
805520,The Dwarves of Glistenveld
808870,Multiple Views Objects 多视体
809830,China VS Roman
810740,Turtle Lu
814190,Digital Runner
815240,Forest Harvester Simulator
815840,Sword Mans
816840,Night of the Shrub Part 1
817920,NO LOVE
819640,Crypto Quest
819950,Archer's story
823330,Marginal act
825450,Type
827780,Margot's Word Brain
830810,Death Game+
831450,Kolb Antarctica Experience
834210,Clicker Planet
837720,Tactical Mind
838530,Ball Escape
840940,Spirits of Metropolis: Legacy Edition
841790,Adventures in the Light & Dark
841830,Semi-Sweet Tofu
842030,Not So Middle Ages
842590,Knight Fighter
844350,Obscurity
845570,Super Punchman
846530,LifeGameSimulator
857110,SPACE BLASTER 8 BIT
857410,Red Spider3: A Heroine Never Dies
859720,Cubelz
860960,N1L (No1Lives)
861940,Crashbots
864020,Lost Legend
866340,Colonumbers
869370,The Goracle
874380,Chess Puzzles
875780,Trivia King
875790,The Movie Trivia Challenge
877300,Liquid Sunshine
878310,Dishwasher
878570,Cryptochain
881610,Professor Watts Word Search: Space Voyage
883390,Beyond the Mind
884770,Astro Bouncer
885240,Tower Stacker
886220,Thunderballs VR
886450,Night of the Shrub Part 2
887710,Ritter
887870,Retro Racers 2
888570,Zombie Head
889990,RGBCELLS
893120,Synthrun
894120,Ghostman: The Council Calamity
895210,On Board Remastered
895370,DollKart
895450,UglyDolls: An Imperfect Adventure
895570,Fairy Rescue
895930,Maze Quest 1: The Forest
905270,Merlin Soccer
905300,Daytona Racing
906170,Metal Brigade Tactics
906360,LUXO Buddies
906480,Defenders of Ekron - Definitive Edition
907920,建筑大冒险 Architectural Adventure
908310,The Call
912760,Volcanic Blocks
913690,Me Smart Orc
913970,The Legend of Protey
914230,Swamp Jump
916210,Fabrication
918120,A.L.A.N.: Rift Breakers
920500,Construction Charlie
920580,Tanks With Hands: Armed and Treaded
921920,Robikon
924040,Fairy Tower Defense
926610,Superior Wizards
926720,Kyiv: from dusk till dawn with Lenovo Explorer
927080,Space Fox Kimi
935110,The Desert's Rose
936210,The Prometheus Secret Noohra
937620,Zack Y
938360,The last soldier
938870,Chronon
945540,Knights of Riddle
946810,the Escape
947310,Wonderland Trails
950600,Zoological Era
951500,Poker Tower Defense
952850,败家仔 Last Wish
954760,The Cells
956000,Su Hack
956430,Steampunk Graveyard
957890,The Horologist's Legacy
958490,Titan shield
959170,John:Condemned
962650,Paroniria 梦缚
964070,Aim Theory - Trainer
966420,Hell Breaker
967210,Spark Five
974220,MEMORISE : CREATION
976840,Happy Vampire Girl
982010,ZDF History 360° – Tempelhof
987980,王者战车
989000,Ruthless Water
996170,Mage VR -Mini Version-
1001990,WARED
1007440,Solitaire: Learn Chemistry
1008970,Cavyrn
1009030,Hello Emoji: Drawing to Solve Puzzles
1009690,Saving Simon
1011110,Nero GameVR
1011860,答题英雄——细胞生物学
1014240,Starship Saboteur Prototype
1014350,Once A Stray
1016350,Land of Dread
1024150,Valentines Cafe
1031230,Midnight's Curse
1033370,Fruit Crawler
1042900,Borderlight
1042910,Desdemona
1044350,The Crater
1045130,Raatihuone
1050170,Terramancer
1050190,Fast Travel: Loot Delivery Service
1051270,Logistic Expert
1054180,Cheeky Beetle And The Unlikely Heroes
1054310,Fade Out
1055660,十日
1055870,Siberian Run VR
1056330,L.S.S II
1058630,Crazy Ball
1058840,Super Web Kittens: Act I
1059470,Wolfgate
1068300,Logitech VR Ink Driver
1068490,Peanut
1068680,Looking Back
1068980,It Runs Red
1071740,Pirates of First Star
1077080,Börnies Journey
1078590,虚幻深渊 The Illusory abyss
1082700,Dinosaur Shakespeare: To Date or Not To Date?
1085210,Fruit Mess
1086630,Spelling Quest Online
1087310,DOOMTANK
1088070,HUNTERS FOR YOUR BRAIN
1088440,The Panel Remake
1089520,Nigel: The Minuscule Adventure
1090490,Tiktalec And The Dino Moonbase
1093690,Couch Storm: Battle Royale
1096290,Real Man Got 100 |  是男人上100层
1102210,The Legend of Viccess
1104170,Cosmo Chaser
1104320,The Treasure of the Dragon
1105530,Light Hunters: Battalion of Darkness
1106950,Furries & Scalies: Friendswood
1106970,Insect Simulator
1109100,El Tesoro de Isla Alcachofa
1112440,Falco Engine
1117420,Bryce's Movement Engine¹
1119630,DarkFairyTales SleepingBeauty
1125980,VoxelSuite
1129110,Magistrangers
1129210,A Million Conquests
1129610,Book Seeker
1131460,明日探险家
1135890,伊始之战
1136870,Nibiru Voyage
1141160,Fractalis
1142360,Hope for City
1144760,Vectrix
1149090,Hospital 9
1150820,Delphyq
1152830,BounceBall3D
1156910,Galactic Management
1157100,Starazius
1160560,Galmon Folklore ~Monster Girl Galore!~
1161210,Ray Versus
1161300,The Legend of Crystal Valley
1163490,Gangsters 1920
1164350,Anime Otaku Girl 二次元宅女
1164760,Vugluskr: Zombie Rampage
1168990,Planet destroyer
1171110,Kedemara - The Orphan's Ballad (Ch.1 & 2)
1171950,Dragon Little Fighters 2
1175490,Code Zero
1176090,Adventure Galaxy
1184590,CubeHub
1185530,My Wet Leto Comic
1186100,Beast Brigade
1187670,Holo Views
1193200,K37-D
1193350,生物知识格斗大赛
1194720,No School No Rules
1195450,HABITKING RPG
1197110,Advancity
1208470,Foxfall
1210260,Purgatory Overkill
1212450,Mineirinho Shooter DC
1214400,A Percent of a Pirate
1215720,Hero's Journey
1219310,欢乐逗病毒TD
1219790,Intern Pursuit Game
1220580,Sky Pirates of Actorius
1221330,One Shot
1224650,Super Arcade Boy in Goodbye Greenies
1225680,Cube Chase
1226420,The Tide Intro
1230570,Shotgun n  Zombies
1230880,Gladii
1233460,Star Escape
1238340,Terra Lander II - Rockslide Rescue
1240350,Galactic Center VR
1241370,FierceWind Decay
1242730,双子树 TwinTrees
1245930,Flaming Friday Night
1248810,离校日 The School Leaving Day
1249620,"Adventures of JQ Jones: ""Isle of the Serpent Empress"""
1253030,Cubecois
1255300,Space Sergeants
1256480,A Siren's Call 2 VR: Legacy ( A VR Short Story)
1257520,"Zatorski, Ph.D."
1257720,Help Me Now
